y,e,z,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10
-0.478536952,0,0.1982463539,0,0,0,0,1,1,1,2,1,1
0.3196874792,1,1.1108345237,1,1,1,1,1,1,1,2,1,2
-1.123414549,0,-0.66975647,0,1,1,0,1,1,2,1,2,2
1.490561245,1,1.3015623012,0,1,1,1,1,2,2,2,2,1
-1.080394418,0,0.3206835377,0,2,2,0,1,1,1,1,2,1
-0.01283139,1,-1.397701475,1,1,2,0,1,0,0,1,0,2
0.649809064,1,0.826879671,1,1,2,1,1,1,1,0,1,1
-3.288249542,1,-1.802645609,2,1,0,2,2,2,1,2,1,0
2.482011688,1,0.9309813002,0,0,1,1,0,1,2,2,1,0
0.4595112593,0,-0.807701987,1,1,2,0,1,1,1,1,1,0
0.3901918805,0,-1.230229234,2,1,2,0,1,1,0,2,1,1
0.910870936,0,-0.178855957,0,0,1,1,1,1,2,0,1,1
-1.476764788,0,-1.338448404,1,1,1,1,0,1,1,1,2,0
1.247388543,0,-0.581244271,1,2,2,1,1,1,2,1,2,1
0.1290475548,0,0.7293756173,0,1,1,2,1,1,0,2,2,2
1.5863466316,1,-0.215266563,1,0,1,1,2,0,2,0,2,1
0.5842938884,0,1.2414428497,0,1,1,0,1,1,0,1,1,1
1.7790674205,1,1.3017673349,1,1,0,2,2,1,1,0,1,1
0.5142215256,0,-0.82696355,1,1,1,1,1,1,0,1,1,2
-0.183704582,0,1.2134689637,0,1,1,0,1,1,0,2,1,2
-0.085568193,0,0.0350239786,2,1,1,1,1,1,2,1,0,1
2.1430840793,0,1.4103293123,0,1,1,1,2,2,1,1,0,1
-0.325271321,0,-0.522513344,1,1,1,1,0,1,1,2,0,1
1.680640325,0,1.0339605772,0,1,0,1,2,1,1,1,1,0
-1.147600988,1,-0.534292729,1,1,1,0,1,1,1,2,0,1
-2.247402396,0,-1.760068721,1,2,2,1,1,0,0,2,2,1
0.6108002071,1,-0.419847123,0,1,2,2,0,1,1,2,0,2
1.4832469777,1,-0.745334233,1,1,0,1,1,0,1,0,2,0
-1.237165875,0,-0.679563023,2,2,2,1,1,1,2,0,1,0
0.9031486907,1,-0.99198898,2,1,0,0,0,1,2,1,0,1
3.0426049606,0,2.0271949272,0,0,1,0,2,1,2,2,1,1
-1.409755558,0,-0.068260882,0,2,2,1,1,1,1,0,2,1
-0.159506141,0,0.7639955314,2,2,0,1,1,1,1,0,1,0
-0.171617758,1,-0.132084086,1,1,2,1,0,0,1,1,0,0
-1.043845126,1,0.2047658935,2,2,1,1,1,0,1,1,0,1
-0.732786612,1,0.5452964832,2,0,1,1,0,1,1,0,1,0
-0.680566238,1,-1.343750452,0,0,0,0,1,2,0,1,0,1
0.6677815627,1,0.9088053658,2,0,1,0,1,1,0,1,2,2
-0.475329361,1,0.8740098762,1,0,1,0,1,1,1,1,1,1
-0.855991607,0,-1.4607497,2,1,0,0,2,1,2,1,0,1
-0.249767578,1,0.216825682,1,2,2,1,1,1,2,1,1,1
0.6742758246,0,0.3157180107,0,2,2,0,1,1,1,0,0,1
-0.199051662,1,0.94853405,1,2,2,1,0,1,1,1,2,0
-0.042162958,1,1.8315620157,1,2,1,0,1,1,1,1,1,1
-0.092812192,0,-2.0216424,1,1,0,0,0,1,2,2,0,1
0.0161868299,0,0.6663336716,1,1,2,1,1,0,0,0,1,1
2.0509713993,1,1.8108754616,0,0,1,0,1,1,1,2,2,1
2.8435812808,1,0.8802597826,2,2,2,2,0,1,0,1,0,1
1.4324998896,1,0.4573261255,2,1,2,1,1,1,1,2,1,1
-0.846795632,0,1.116929899,0,0,0,0,0,1,0,1,1,0
-0.012943253,1,-0.572392231,1,0,1,0,1,0,2,0,1,1
2.9990979361,0,1.8527586459,1,0,1,2,0,0,2,1,1,1
-0.861561381,1,0.1085662998,1,1,2,0,1,0,1,2,0,0
1.840282295,0,0.0845750103,1,2,2,2,1,1,0,1,1,0
-0.223047358,1,0.1087633585,1,1,0,0,1,0,0,1,2,0
0.0994250053,0,-0.893273274,1,0,0,2,2,1,1,2,2,2
-1.460620202,1,-0.819814473,1,1,2,1,1,1,1,2,1,1
-0.40347931,0,-0.474454769,2,0,1,0,0,1,0,1,1,1
-0.089347731,1,-0.228225792,1,0,1,1,1,1,0,1,0,0
-0.684671603,0,-0.906352119,1,0,0,1,0,2,2,1,2,1
2.6594889492,0,-0.36952295,1,0,0,1,2,2,0,2,1,1
3.4104108314,0,1.2888699631,0,2,1,1,2,0,0,1,1,1
3.5991104395,1,2.0976357056,1,1,1,2,2,2,1,0,1,0
-2.699753544,0,0.2664544296,1,2,1,0,0,1,1,2,1,1
2.1847448281,0,1.5786442118,1,0,2,1,1,2,2,1,2,1
-0.282226757,1,-0.1661313,1,1,1,2,1,0,0,1,0,1
1.3360229899,0,0.2511865593,1,1,0,1,0,1,1,1,1,1
-0.976694928,1,-0.354807099,2,1,2,2,2,0,2,1,1,0
0.3481974426,1,-1.782611811,1,2,1,1,0,2,2,1,0,0
0.7427431879,0,1.4845956269,1,1,0,2,0,1,1,1,0,0
-0.789718707,1,1.2849881344,2,0,0,0,0,0,1,2,2,1
-1.846398762,0,-0.859044341,1,2,2,0,1,1,2,1,1,2
0.8847147867,1,-0.232510926,2,0,1,1,2,1,2,0,1,1
-0.143693844,0,-0.052150601,1,2,1,0,1,0,2,1,0,2
1.3570924371,0,1.3746496524,1,1,1,2,1,2,2,2,0,1
-0.204409325,0,-0.262324667,0,0,0,2,2,1,0,1,2,2
-1.446753815,0,-1.716764867,0,1,0,1,2,2,2,2,2,2
-0.599873329,0,-0.70364294,1,1,1,1,2,1,0,0,1,1
-1.328128361,1,-0.679928885,1,1,1,1,0,1,0,2,0,0
-0.375655899,1,-0.549199375,1,2,1,1,0,1,2,2,1,0
-0.594242324,0,-0.98422178,1,2,0,2,2,0,1,1,1,1
0.3449555293,1,0.0678585772,1,1,0,1,1,2,1,2,1,1
-0.871289184,0,-1.021244887,1,1,1,1,1,1,0,1,0,1
1.6942965601,1,0.1544249452,2,2,1,1,1,1,0,0,0,1
-0.94453175,1,-0.457145393,1,0,1,0,1,0,1,2,1,1
1.4013895213,1,0.4196972447,1,0,2,1,1,1,1,1,2,1
0.0764316567,0,2.3552635568,0,2,2,0,0,2,1,0,1,1
0.6158037639,1,-0.430794194,1,2,0,1,1,0,2,2,1,1
-1.787975852,1,-0.675446362,2,1,2,2,0,2,1,0,1,1
1.5815260197,0,1.6331167835,1,1,2,1,1,2,1,1,2,1
1.2433099122,0,1.3398284256,1,2,1,1,2,0,0,0,1,1
1.3145256035,0,1.1625294215,1,1,2,0,1,2,2,0,1,2
1.9941503094,1,0.5399714942,0,1,2,0,2,1,1,0,1,1
0.6867158827,0,0.2935231619,1,1,1,1,1,0,0,2,1,2
0.7368652067,0,0.1773166047,1,2,1,1,1,1,2,0,1,1
-0.794428781,1,0.460459432,1,2,1,0,1,1,0,0,2,2
-0.510556596,1,-0.491723986,1,1,1,2,1,1,1,0,2,0
-0.809620387,0,-0.130763463,1,1,1,0,1,0,0,1,0,1
0.4442666462,1,-0.296874266,1,1,2,1,1,0,1,1,1,1
-2.10836299,0,-1.836571436,0,2,1,2,1,2,2,2,1,1
1.013981084,0,0.1078890258,1,0,1,1,1,2,1,2,0,2
0.3031695401,1,1.3019323248,0,0,0,0,0,0,2,0,0,2
-0.951274928,0,-1.654550917,0,2,2,2,1,1,0,2,2,2
2.1864170846,0,0.4377545393,0,1,1,0,2,1,1,1,0,0
-0.830616896,1,-1.182640444,0,1,2,1,0,2,0,1,2,2
1.2051384899,0,0.5032742184,0,0,1,1,1,1,1,1,1,0
-0.065476383,1,1.2408610337,0,2,0,0,0,1,1,1,1,1
1.8578177257,0,1.7686665391,2,2,0,0,1,1,1,2,2,1
0.23312904,0,2.2872251508,1,2,1,0,1,0,2,2,2,1
-0.963479081,1,0.0614587278,2,2,1,1,1,1,1,2,1,2
-0.347944571,0,-1.984664531,1,1,1,1,2,1,2,1,2,1
1.7787389662,0,0.0948170478,1,1,1,0,0,2,1,0,1,0
0.4167170909,1,-0.711520595,1,1,2,1,0,0,1,0,0,1
1.5284299236,0,0.1986396034,1,0,0,1,0,0,0,1,1,1
0.7898560265,0,0.1091890697,1,1,0,1,1,0,2,0,1,2
1.1385562401,1,0.300866552,1,1,0,1,1,1,1,2,2,1
0.0824468801,1,-0.556159102,0,1,0,0,2,1,1,0,2,1
-0.471591061,1,-0.826120261,2,1,1,2,2,1,1,1,2,1
2.0225695844,0,1.509109932,1,1,1,1,1,1,2,1,0,1
0.461604563,0,-0.590951594,2,1,2,1,1,0,0,1,0,0
1.3409823983,1,0.4077621965,0,0,1,1,1,1,1,1,0,1
1.605741339,1,0.4340285141,1,2,1,0,1,1,1,2,2,0
-0.468855387,0,-1.375879117,2,2,1,0,0,0,0,1,0,1
0.2348178359,0,0.1864807512,1,0,1,2,1,1,0,1,1,2
-1.186554742,0,-0.627178302,1,1,1,0,2,1,1,1,2,0
-1.362694596,0,-2.228420992,1,1,1,1,1,1,1,2,1,0
-1.18493187,0,-0.495350006,1,1,0,2,1,2,2,1,1,1
-0.748418031,0,0.2069320086,1,1,1,1,1,2,2,1,0,1
-2.613299605,0,-0.580180692,0,1,1,2,2,2,0,1,0,1
0.7863773726,0,-0.246935726,2,0,2,0,1,1,1,2,1,1
-0.344457394,0,0.6457104129,1,0,1,0,1,0,2,1,2,1
-0.922915498,1,-0.284682995,2,1,0,2,1,1,2,2,1,2
0.6607679347,0,-0.119051012,1,1,2,1,2,0,1,1,2,2
0.0656085369,1,0.0452705348,0,0,0,1,1,1,2,2,1,1
-1.863727445,1,-0.588250927,1,1,0,2,2,2,2,1,1,1
2.8964001832,1,0.8379247946,0,0,1,1,2,2,0,0,2,0
-0.331643756,1,-0.283274903,1,1,0,0,0,2,1,1,1,2
0.4151645577,0,0.6851249572,1,0,2,2,0,1,0,0,1,0
-2.02401052,1,-0.81425443,2,1,0,2,1,0,1,1,1,1
-0.270997336,0,0.1584963705,0,2,0,1,1,1,0,1,2,1
2.7263012842,1,1.1280104251,0,0,0,1,2,1,0,0,1,2
-0.804262134,0,-0.136801299,0,1,0,0,1,1,1,2,1,1
-0.72441949,0,1.2272598159,1,1,2,0,0,1,0,1,2,2
1.0279738541,1,-0.527148846,0,2,0,1,2,1,2,1,2,1
-0.690427775,0,1.9138904056,1,0,0,0,1,1,2,2,0,1
1.1155187532,1,-0.176636208,1,2,1,0,1,2,1,1,1,2
1.9799025379,0,1.5233799824,2,2,1,1,0,1,1,1,0,0
0.9260037648,0,-1.95964159,0,1,1,1,0,1,1,2,1,2
-0.437604507,1,0.058838706,2,1,1,1,1,1,0,0,0,2
0.1737435296,0,0.6114430993,1,1,1,0,0,2,0,0,0,1
-0.009684481,1,0.8316039697,2,0,1,0,2,2,2,0,1,1
-0.056084693,1,1.7046990083,1,1,0,2,1,2,0,2,1,1
0.9681771839,0,0.5456425144,0,0,1,1,1,2,1,0,1,1
0.9598616754,1,-1.74232352,1,0,1,0,0,0,1,1,1,1
-1.233271858,0,0.3961908832,1,1,1,0,1,1,1,2,0,0
1.5638267853,0,0.8212479111,2,1,1,0,2,1,2,2,2,0
2.2297653207,1,0.4560560163,0,0,1,2,1,2,1,1,2,1
0.1753992345,1,-1.21329436,1,2,2,1,1,2,2,1,1,0
-1.084093566,0,-0.051359101,0,0,1,1,0,2,2,1,0,0
0.229149151,1,-0.3489327,1,1,1,2,0,1,1,0,2,1
-1.04612665,1,-0.290144833,1,2,1,1,1,1,0,0,2,0
0.2762506731,0,2.0723077218,1,1,1,0,0,1,2,1,0,1
1.3863355129,1,-1.02301177,1,0,2,1,1,0,2,1,0,0
1.3879048322,1,1.2928029861,2,0,1,0,2,1,2,1,2,1
0.6751544142,0,-0.105123003,1,1,2,2,1,1,0,0,0,2
1.0944107255,1,0.4239406317,0,1,1,2,1,1,2,0,1,0
0.7947416033,1,1.2134392425,1,1,2,1,0,1,1,2,1,2
0.7305962632,0,-0.192558584,1,2,2,1,1,1,1,2,0,0
1.9776753516,0,0.3785753115,1,1,2,2,2,1,0,0,1,1
1.9989709358,1,0.3323561335,1,0,0,2,1,0,0,1,1,0
0.2832672434,0,0.4780566346,1,1,1,2,1,2,0,1,1,1
0.2055789729,0,0.7519537098,1,1,1,2,1,1,1,1,0,0
-0.957407701,1,1.2768324409,1,1,2,0,2,1,2,1,2,0
-2.159179371,0,-1.520623946,1,2,2,0,1,2,1,0,1,0
0.9007889719,1,1.0570473526,2,2,0,2,1,1,1,2,1,2
2.412809833,0,0.7014197232,1,2,1,2,0,0,1,1,1,0
0.6320005042,1,0.7701375116,1,2,0,2,1,2,2,0,1,1
1.3402100519,1,0.707958294,0,1,2,2,1,0,0,1,1,1
-0.984698168,0,-0.282989715,0,1,2,1,1,0,0,1,1,1
0.2046539129,1,0.7025862718,1,0,0,2,0,2,1,1,1,1
-0.112273283,1,-0.237603446,1,1,0,1,0,1,1,1,1,1
0.2249434618,0,1.8035761709,0,1,1,1,0,1,2,2,1,0
-0.853614654,0,-1.117332787,1,2,1,1,0,1,1,2,2,2
0.1060635006,1,-0.385637222,0,1,1,1,0,2,1,1,2,1
1.2795757638,1,1.8322882096,0,1,2,0,0,1,2,2,2,0
0.12766654,0,0.260582561,1,0,2,2,0,2,2,2,1,0
-0.957960103,1,-0.756788139,1,0,2,2,0,1,2,2,0,1
-1.540956706,0,-0.586439978,1,2,1,2,0,1,2,0,1,1
0.5656850448,0,-0.133368725,1,1,1,1,0,1,1,1,1,1
-0.662791112,0,-1.177240955,1,1,1,0,1,0,0,1,1,2
2.5873236112,0,0.6352421449,2,1,2,1,1,0,0,1,1,1
-1.060588626,1,0.5884429662,1,0,1,0,2,1,2,1,0,1
0.9399964996,0,-0.626679939,1,2,1,2,2,1,1,0,1,0
1.3966584365,0,0.5500061355,2,2,0,0,1,1,1,2,0,2
0.8988705359,0,-0.044382706,1,1,1,1,1,2,1,2,0,0
2.9332722849,0,0.4041738952,0,2,1,1,1,1,0,1,1,0
0.8233187182,0,0.5556306328,2,1,1,0,1,2,1,1,2,1
0.5056805824,0,-0.594273946,2,0,2,1,1,0,1,0,1,0
-0.492595723,1,-0.815504803,1,1,1,2,0,1,1,0,1,2
1.9924662666,1,-0.752704064,0,2,1,0,0,1,1,2,0,1
0.934058239,1,0.1439317,0,1,0,1,1,1,1,0,2,2
-0.609198658,0,-0.810481658,1,2,1,2,0,1,1,0,1,1
-1.544951916,0,-2.251709688,1,0,2,2,1,2,1,2,2,2
2.3332437492,0,2.2613913423,0,1,2,2,1,2,1,1,1,1
0.5182356843,1,0.0487674138,0,1,0,2,2,0,1,1,0,0
0.3778617531,0,-0.226667862,1,1,0,2,1,1,0,1,2,2
1.1272925702,0,0.4460598871,1,2,1,1,0,1,2,0,2,2
2.5265438176,0,0.3096568782,1,1,0,1,1,2,2,1,1,1
-0.499760486,1,-0.577634934,1,1,2,0,1,0,2,0,2,1
-0.255605345,0,-0.075162362,0,1,2,1,1,1,2,0,2,2
-1.319086863,1,-0.218090507,2,0,1,2,2,2,1,2,1,2
0.9495451456,0,2.1932165037,1,0,1,0,1,2,0,1,1,1
1.4560189925,0,-0.057047187,1,2,0,1,0,2,0,1,2,0
-1.031189436,1,-0.410937724,1,2,1,1,1,0,1,1,2,2
0.5270788457,0,0.1745881752,1,0,1,1,0,1,1,2,0,1
1.3747755911,1,-0.052032769,1,0,1,2,0,1,1,2,0,0
2.3166870493,1,1.7509177138,1,0,0,1,1,1,0,0,0,2
-0.035756386,0,-1.799518363,0,1,1,0,1,1,1,0,1,1
0.1314073548,0,-0.582250089,1,0,1,1,2,1,0,1,1,0
-0.094908053,1,-0.09769501,2,1,1,1,2,1,2,1,1,2
-0.409190591,1,-0.654476255,2,1,1,2,1,2,1,1,0,0
2.3312823987,1,-0.273344042,0,0,2,2,1,2,2,0,2,0
-0.786919565,1,-1.120515461,2,1,0,0,2,1,1,2,2,1
3.3271135025,0,1.8632704862,0,1,0,1,2,1,0,1,1,1
-1.119509051,1,0.1399593368,2,2,1,1,1,2,0,1,1,1
-1.318001336,1,-0.790111833,2,0,2,0,2,0,2,2,1,2
-0.051273873,0,-1.001537771,1,1,2,1,1,1,1,1,0,0
1.2748085555,0,0.4957523049,2,2,1,1,1,2,0,2,1,2
-4.216004267,0,-2.510688353,2,2,1,1,1,1,0,1,1,0
0.1866520128,0,-0.026505267,1,2,2,0,2,1,2,2,2,1
0.291034119,1,1.0982535827,1,0,0,2,1,2,2,2,1,0
0.3509599497,0,-0.335287766,2,1,1,2,0,1,1,1,1,2
2.9052830721,1,1.2986911164,1,0,1,2,0,1,1,1,2,2
0.3737182214,0,0.4180512849,1,1,2,0,1,2,1,1,1,2
-0.530656533,1,-0.308698256,1,0,1,1,2,1,0,0,2,0
-0.764151705,1,-1.161899204,1,2,1,1,1,1,2,0,1,1
-0.560119799,0,1.363518118,1,2,2,0,1,1,1,2,1,1
-0.047479499,0,1.4931152607,0,1,2,1,1,1,1,0,1,0
1.5250963621,0,0.2694140706,2,2,1,0,2,1,2,2,1,2
0.562481358,0,-0.124163926,1,1,0,1,0,0,1,1,1,1
0.8409584106,0,-0.575310709,2,0,1,1,2,1,1,1,1,0
0.8509352029,0,0.9549976485,1,0,1,0,0,1,0,1,1,2
1.0994135494,0,1.8884708876,1,0,1,0,1,0,1,0,1,1
0.4329218622,0,-0.563924916,1,0,1,1,1,2,2,1,2,1
-0.41403841,1,-2.13198765,0,1,0,2,1,1,0,1,2,1
0.949056961,1,0.1887372609,1,2,0,0,0,2,2,0,2,0
1.2057094301,0,0.7922886118,1,0,1,1,1,0,1,1,0,0
-0.902836122,1,-2.151051881,1,0,2,2,1,0,2,1,2,1
3.6936573059,0,0.7238164437,2,0,0,2,1,1,1,1,2,2
2.9550676205,1,0.8907474359,1,2,1,2,2,1,2,2,1,0
1.1865154391,0,0.0604309221,1,1,1,1,2,2,0,2,2,2
2.9403662162,0,0.8533737055,2,0,1,1,1,2,1,1,1,2
-0.255641628,0,1.650556164,1,1,1,0,0,2,1,2,1,1
0.3821556985,1,0.4679947761,1,1,1,2,1,1,0,2,2,0
0.2840147336,0,-0.747840691,2,0,1,1,1,0,0,1,2,1
1.0473876054,0,1.2588793846,1,2,1,1,0,2,1,0,1,1
1.8880458163,1,0.7814480025,1,2,1,2,1,2,0,1,2,2
-0.017674607,0,-0.287531286,0,0,0,1,1,2,2,0,1,2
0.9502378795,0,-0.557000221,1,2,2,1,2,2,2,2,0,0
-0.434324157,0,-1.141101741,1,2,2,1,1,2,2,1,1,1
-1.209214539,1,-0.674921269,1,2,2,0,1,0,2,0,0,2
0.5598292695,0,0.5713553754,1,0,1,2,0,1,0,1,2,0
2.2649193903,0,0.3852249962,1,1,0,2,1,1,2,2,1,2
1.9131304869,1,1.5092692605,1,2,2,1,0,0,1,0,2,1
-0.231942519,1,-0.93059554,0,1,1,1,1,1,2,1,1,1
-1.807820002,0,-2.038277366,2,1,0,2,2,2,1,1,0,0
-0.039982374,1,-0.840345364,0,1,2,2,0,0,2,0,0,1
0.1959050842,0,0.8349155282,1,1,0,0,2,1,0,0,1,0
0.0342759175,1,1.458475602,2,0,2,0,1,2,1,1,1,2
0.5304913846,1,0.1431895921,2,1,1,0,1,1,1,1,1,1
-0.479796746,1,0.9993375618,1,1,2,2,0,0,1,0,1,0
1.5240616429,1,-0.457940413,0,1,1,1,2,1,1,1,2,0
1.4702306935,0,1.6747695608,1,1,2,2,1,1,1,1,0,0
-0.545358195,1,0.3314013821,0,1,2,0,1,2,2,1,1,1
0.6080283317,1,0.8061244292,1,2,0,0,0,2,0,0,0,0
-0.684461816,0,0.5716089684,0,2,2,2,1,1,1,0,1,0
-0.635653376,0,-1.099652918,0,1,1,1,1,2,1,2,2,1
1.0613147031,0,0.2271195107,0,0,1,1,0,1,2,2,2,1
0.3756793098,0,1.1762692409,2,1,2,1,0,0,1,1,2,1
3.7590536262,0,1.2865638707,0,1,1,2,2,1,0,2,1,1
-0.391021056,0,-0.788061357,1,0,0,0,2,1,2,0,0,1
0.3351944281,0,1.3092886153,1,1,1,2,1,0,1,0,1,2
0.6032066329,1,-0.465343788,1,0,1,1,1,1,1,1,0,0
-0.445465184,0,1.2558849647,0,1,1,2,1,1,2,0,2,2
-0.596184785,1,-1.395462863,0,0,1,1,1,1,2,2,0,2
2.3208475073,0,0.2956313904,1,2,0,1,1,1,1,2,1,2
-0.460804891,0,-1.21823593,2,0,1,2,1,0,1,2,0,2
-0.533404055,1,1.0067414817,2,1,0,0,2,1,0,1,1,2
0.439876481,0,0.4934025582,1,1,0,2,0,2,1,1,2,0
3.3593799814,0,1.1221549641,2,0,2,2,2,1,2,0,1,1
5.3643421936,1,2.0957986006,1,1,1,1,2,2,1,2,0,0
0.5264060935,0,0.0747556102,1,1,2,1,1,1,0,0,1,1
-0.317280315,1,-1.584868016,2,0,1,2,2,1,1,0,0,2
-0.764071587,1,-1.159092876,1,2,0,0,0,1,1,2,1,1
1.0124324778,0,-0.285189417,1,2,0,1,0,0,1,1,0,1
2.4293249042,0,0.0880557312,2,0,2,1,1,0,0,1,2,0
-0.091119927,0,0.9237109217,1,1,0,2,1,1,0,0,1,1
-1.001058543,1,0.38712987,2,2,2,2,1,0,1,1,2,1
-1.070172795,0,-1.99996808,1,0,2,0,0,1,1,1,2,1
0.8873438083,1,1.0783453575,1,1,0,0,2,1,1,1,2,0
2.8916656514,0,1.6537505765,1,1,0,2,0,1,1,0,2,0
0.9429123226,1,-0.903278752,0,2,0,2,1,2,1,2,1,0
1.8177595162,1,0.1620220905,0,1,0,1,1,1,1,2,1,1
1.5186595691,0,0.5939142501,0,2,1,1,1,2,1,1,0,1
0.1793557556,0,-0.981349286,0,0,2,0,1,1,1,0,2,2
0.4743891499,0,0.2039022873,1,0,1,1,1,2,1,0,0,1
-1.084830932,1,-0.085904005,1,0,1,2,1,1,0,2,1,1
1.1375619398,0,2.2752923097,2,1,1,1,1,0,1,1,1,1
1.0525029716,1,0.9157971578,1,0,1,2,2,1,1,1,1,2
-0.210616794,0,-0.377930258,0,0,0,0,1,0,2,2,1,1
-0.457798651,0,-1.679872755,1,1,1,0,1,1,2,0,0,1
3.7645032118,1,2.138819425,1,1,0,1,2,2,0,1,1,2
-0.631449246,1,-0.840067034,1,1,1,1,1,1,1,2,1,0
0.1685207566,1,-0.620485125,2,2,0,1,1,1,1,1,1,1
1.3499835354,0,-0.56011755,0,2,1,0,2,1,0,1,0,2
0.0111297384,0,-0.26781471,2,1,1,0,1,1,2,2,1,2
3.5492184269,1,0.4538347188,1,0,1,1,1,2,0,1,1,2
0.3382023701,0,0.1267697685,1,0,1,1,1,1,0,1,1,0
-0.127658333,1,-0.11986821,0,1,1,2,0,0,0,0,1,2
0.7115116181,1,0.3486187013,2,0,2,0,0,2,1,2,2,1
-2.631666138,0,0.2183022866,1,1,0,0,1,0,2,1,1,1
1.6261524045,0,0.6056252621,1,0,2,1,2,1,1,1,1,1
0.4913173979,1,0.6950689613,1,1,1,2,1,2,1,2,2,1
0.4007149233,1,0.2882545135,2,1,1,1,2,2,2,1,2,2
1.3220849593,1,0.4177166592,1,2,2,1,2,2,0,1,0,1
-0.564329152,1,-2.030223232,0,0,1,2,1,0,1,1,1,1
0.094024866,0,0.8521515596,0,1,0,1,1,0,2,2,1,1
0.584310526,1,-0.335391413,1,2,1,2,0,2,1,1,1,1
-1.69862624,0,-0.583549077,0,1,2,1,1,2,1,1,1,1
0.5087721411,0,0.2604314703,1,0,0,0,0,2,1,1,0,2
-0.512985855,0,-0.318179937,1,1,2,0,2,0,1,2,1,1
1.2549532483,1,1.0556722109,2,1,0,2,0,2,2,2,1,1
-0.285037954,0,-0.117428792,2,0,1,0,1,0,0,2,1,1
0.5780333855,0,1.6740177756,1,1,2,0,1,1,0,1,1,1
